feature,importance
InternetService_No,0.0023891679472743486
StreamingMovies_No internet service,0.002654856067620173
MultipleLines_No phone service,0.0033799827970514497
PhoneService,0.0035615111478452853
DeviceProtection_No internet service,0.004154808652691164
OnlineBackup_No internet service,0.004370492003625485
OnlineSecurity_No internet service,0.0043866977940416815
TechSupport_No internet service,0.004752917873729784
PaymentMethod_Mailed check,0.006693857458993653
StreamingTV_No internet service,0.006996660486138317
PaymentMethod_Bank transfer (automatic),0.007610781931480891
DeviceProtection_Yes,0.007880866005953559
StreamingTV_Yes,0.008409056093984547
StreamingTV_No,0.00850194477792453
StreamingMovies_Yes,0.008791306821988866
PaymentMethod_Credit card (automatic),0.009041237646445863
StreamingMovies_No,0.009059761458856347
MultipleLines_Yes,0.01022897312223286
OnlineBackup_Yes,0.010369734490690697
MultipleLines_No,0.010431803470975666
Dependents,0.010462603232617535
SeniorCitizen,0.010501896283847734
Partner,0.012272678644378645
DeviceProtection_No,0.013439976541665654
TechSupport_Yes,0.013869192841695854
gender,0.013920930001725042
OnlineSecurity_Yes,0.014359363294197083
Contract_One year,0.015466935607977836
PaperlessBilling,0.017461645719830866
InternetService_DSL,0.020289933572942606
OnlineBackup_No,0.020619319252950876
Contract_Two year,0.03182899445903216
TechSupport_No,0.046236219324845375
InternetService_Fiber optic,0.04831224031543496
PaymentMethod_Electronic check,0.04857569887465016
OnlineSecurity_No,0.0639241636503991
MonthlyCharges,0.094892241473314
Contract_Month-to-month,0.09825593329347448
TotalCharges,0.1332236625348018
tenure,0.1384199530306732
